MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
CPP-BTVA,CPP,BTVA,NOT-EXIST,4.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,4.43,4.43,CG,15-Aug,31-Dec,130,DN,0,
BTVA-CPP,BTVA,CPP,NOT-EXIST,4.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,4.43,4.43,CG,15-Aug,31-Dec,130,UP,0,
HCM-TIU,HCM,TIU,NOT-EXIST,5.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,5.43,5.43,CG,15-Aug,31-Dec,130,UP,0,
TIU-HCM,TIU,HCM,NOT-EXIST,5.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,5.43,5.43,CG,15-Aug,31-Dec,130,DN,0,
GTLM-VZM,GTLM,VZM,VZM-SPRD,5.64,2,0,2,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,SPRD-VZM,1,5.64,5.64,CG,15-Aug,31-Dec,110,UP,0,
VZM-GTLM,VZM,GTLM,VZM-SPRD,5.64,2,0,2,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VZM-SPRD,1,5.64,5.64,CG,15-Aug,31-Dec,110,DN,0,
DGB-NWP,DGB,NWP,NOT-EXIST,5.94,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,5.94,5.94,CG,15-Aug,31-Dec,130,DN,0,
NWP-DGB,NWP,DGB,NOT-EXIST,5.94,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,5.94,5.94,CG,15-Aug,31-Dec,130,UP,0,
PUN-RMZ,PUN,RMZ,NOT-EXIST,6.23,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,0,PSA-VSKP,1,6.23,6.23,CG,15-Aug,31-Dec,130,UP,0,
RMZ-PUN,RMZ,PUN,NOT-EXIST,6.23,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,0,VSKP-PSA,1,6.23,6.23,CG,15-Aug,31-Dec,130,DN,0,
DUSI-CHE,DUSI,CHE,KTV-PSA,6.46,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,VSKP-PSA,1,6.46,6.46,CG,15-Aug,31-Dec,130,DN,0,
CHE-DUSI,CHE,DUSI,KTV-PSA,6.46,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,PSA-VSKP,1,6.46,6.46,CG,15-Aug,31-Dec,130,UP,0,
GVI-CPP,GVI,CPP,KTV-PSA,6.57,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,6.58,6.58,CG,15-Aug,31-Dec,130,DN,0,
CPP-GVI,CPP,GVI,KTV-PSA,6.57,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,6.57,6.58,CG,15-Aug,31-Dec,130,UP,0,
NWP-TEK,NWP,TEK,NOT-EXIST,6.63,1,1,5,AB,B,E,WAT,28-May,SCTN - WAT1,Y,N,N,Y,30-Mar,WAT1,0,NWP-GNPR,1,6.63,6.63,C,15-Aug,31-Dec,75,UP,0,
TEK-NWP,TEK,NWP,NOT-EXIST,6.63,1,1,5,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,GNPR-NWP,1,6.63,6.63,C,15-Aug,31-Dec,110,DN,0,
PSA-SUDV,PSA,SUDV,PSA-BALU,6.64,2,0,4,AB,B,E,KUR,22-Feb,ECORZN3,N,N,N,Y,19-Sep,ECORZN3,1,PSA-KUR,1,6.64,6.64,CG,15-Aug,31-Dec,130,DN,0,
SUDV-PSA,SUDV,PSA,PSA-BALU,6.64,2,0,4,AB,B,E,KUR,20-Mar,SCTN - KURKSB,N,N,N,Y,16-Sep,KURKSB,1,KUR-PSA,1,6.64,6.64,CG,15-Aug,31-Dec,130,UP,0,
RMZ-NWP,RMZ,NWP,NOT-EXIST,7.01,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,7.01,7.01,CG,15-Aug,31-Dec,130,UP,0,
NWP-RMZ,NWP,RMZ,NOT-EXIST,7.01,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,7.01,7.01,CG,15-Aug,31-Dec,130,DN,0,
ALM-KUK,ALM,KUK,KTV-PSA,7.11,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,7.11,7.11,CG,15-Aug,31-Dec,130,DN,0,
KUK-ALM,KUK,ALM,KTV-PSA,7.11,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,7.11,7.11,CG,15-Aug,31-Dec,130,UP,0,
KPL-KTV,KPL,KTV,KTV-PSA,7.74,3,0,1,AT,B,E,WAT,25-Apr,WAT1,Y,N,N,Y,17-Aug,WAT1,1,PSA-VSKP,1,7.74,7.74,CG,15-Aug,31-Dec,130,UP,0,
KTV-KPL,KTV,KPL,KTV-PSA,7.74,3,0,1,AT,B,E,WAT,25-Apr,ECORZN4,N,N,N,Y,17-Aug,WAT1,1,VSKP-PSA,1,7.74,7.74,CG,15-Aug,31-Dec,130,DN,0,
DGB-KBM,DGB,KBM,NOT-EXIST,7.97,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,7.97,7.98,CG,15-Aug,31-Dec,130,UP,0,
KBM-DGB,KBM,DGB,NOT-EXIST,7.98,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,7.98,7.98,CG,15-Aug,31-Dec,130,DN,0,
HCM-KBM,HCM,KBM,NOT-EXIST,8.29,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,8.29,8.29,CG,15-Aug,31-Dec,130,DN,0,
KBM-HCM,KBM,HCM,NOT-EXIST,8.29,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,8.29,8.29,CG,15-Aug,31-Dec,130,UP,0,
PDU-DUSI,PDU,DUSI,KTV-PSA,8.82,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,VSKP-PSA,1,8.83,8.83,CG,15-Aug,31-Dec,130,DN,0,
DUSI-PDU,DUSI,PDU,KTV-PSA,8.82,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,PSA-VSKP,1,8.82,8.83,CG,15-Aug,31-Dec,130,UP,0,
SGDM-BTVA,SGDM,BTVA,NOT-EXIST,8.83,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,8.83,8.84,CG,15-Aug,31-Dec,130,UP,0,
BTVA-SGDM,BTVA,SGDM,NOT-EXIST,8.84,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,8.84,8.84,CG,15-Aug,31-Dec,130,DN,0,
KTV-PDT,KTV,PDT,KTV-GPT,8.92,4,0,1,AT,B,E,WAT,25-Apr,WAT1,Y,N,N,Y,28-Oct,WAT,1,PSA-VSKP,1,8.92,8.92,CG,15-Aug,31-Dec,130,UP,0,
PDT-KTV,PDT,KTV,KTV-GPT,8.92,4,0,1,AT,B,E,WAT,25-Apr,WAT1,Y,N,N,Y,28-Oct,WAT,1,VSKP-PSA,1,8.92,8.92,CG,15-Aug,31-Dec,130,DN,0,
KTV-MVW,KTV,MVW,KRPU-KTV,8.93,2,0,1,AB,B,E,WAT,25-Apr,WAT1,Y,N,N,Y,17-Aug,WAT1,1,KTV-KRPU,1,8.93,8.93,CG,15-Aug,31-Dec,95,UP,0,
MVW-KTV,MVW,KTV,KRPU-KTV,8.93,2,0,1,AB,B,E,WAT,25-Apr,WAT1,Y,N,N,Y,17-Aug,WAT1,1,KRPU-KTV,1,8.93,8.93,CG,15-Aug,31-Dec,95,DN,0,
KPL-ALM,KPL,ALM,KTV-PSA,9.23,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,9.24,9.24,CG,15-Aug,31-Dec,130,DN,0,
ALM-KPL,ALM,KPL,KTV-PSA,9.23,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,9.23,9.24,CG,15-Aug,31-Dec,130,UP,0,
ULM-TIU,ULM,TIU,KTV-PSA,9.63,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,9.63,9.63,CG,15-Aug,31-Dec,130,DN,0,
TIU-ULM,TIU,ULM,KTV-PSA,9.63,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,9.63,9.63,CG,15-Aug,31-Dec,130,UP,0,
ULM-CHE,ULM,CHE,KTV-PSA,10.04,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,10.04,10.05,CG,15-Aug,31-Dec,130,UP,0,
CHE-ULM,CHE,ULM,KTV-PSA,10.04,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,10.05,10.05,CG,15-Aug,31-Dec,130,DN,0,
PDU-SGDM,PDU,SGDM,KTV-PSA,10.07,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,PSA-VSKP,1,10.07,10.07,CG,15-Aug,31-Dec,130,UP,0,
SGDM-PDU,SGDM,PDU,KTV-PSA,10.07,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,VSKP-PSA,1,10.07,10.07,CG,15-Aug,31-Dec,130,DN,0,
KUK-VZM,KUK,VZM,KTV-PSA,10.65,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,10.65,10.65,CG,15-Aug,31-Dec,130,DN,0,
VZM-KUK,VZM,KUK,KTV-PSA,10.65,3,0,1,AT,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,10.65,10.65,CG,15-Aug,31-Dec,130,UP,0,
NML-VZM,NML,VZM,KTV-PSA,11.74,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,11.74,11.75,CG,15-Aug,31-Dec,130,UP,0,
VZM-NML,VZM,NML,KTV-PSA,11.74,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,11.75,11.75,CG,15-Aug,31-Dec,130,DN,0,
PSA-PUN,PSA,PUN,KTV-PSA,12.29,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,PSA-VSKP,1,12.29,12.29,CG,15-Aug,31-Dec,130,UP,0,
PUN-PSA,PUN,PSA,KTV-PSA,12.29,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,VSKP-PSA,1,12.29,12.29,CG,15-Aug,31-Dec,130,DN,0,
NML-GVI,NML,GVI,KTV-PSA,12.33,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VSKP-PSA,1,12.33,12.33,CG,15-Aug,31-Dec,130,DN,0,
GVI-NML,GVI,NML,KTV-PSA,12.33,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,PSA-VSKP,1,12.33,12.33,CG,15-Aug,31-Dec,130,UP,0,
NWP-PUN,NWP,PUN,KTV-PSA,13.24,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,KTV-PSA,1,13.24,13.24,CG,15-Aug,31-Dec,110,DN,0,
PUN-NWP,PUN,NWP,KTV-PSA,13.24,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,1,KTV-PSA,1,13.24,13.24,CG,15-Aug,31-Dec,110,UP,0,
SGDM-CPP,SGDM,CPP,KTV-PSA,13.27,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.27,13.27,CG,15-Aug,31-Dec,110,UP,0,
CPP-SGDM,CPP,SGDM,KTV-PSA,13.27,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.27,13.27,CG,15-Aug,31-Dec,110,DN,0,
TIU-KBM,TIU,KBM,KTV-PSA,13.72,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.72,13.72,CG,15-Aug,31-Dec,110,DN,0,
KBM-TIU,KBM,TIU,KTV-PSA,13.72,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.72,13.72,CG,15-Aug,31-Dec,110,UP,0,
NWP-KBM,NWP,KBM,KTV-PSA,13.92,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.92,13.92,CG,15-Aug,31-Dec,110,UP,0,
KBM-NWP,KBM,NWP,KTV-PSA,13.92,2,0,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,KTV-PSA,1,13.92,13.92,CG,15-Aug,31-Dec,110,DN,0,
PLH-NWP,PLH,NWP,NWP-GNPR,39.21,1,0,5,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,,1,0,0,C,15-Aug,31-Dec,110,DN,0,
NWP-PLH,NWP,PLH,NWP-GNPR,39.21,1,0,5,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,,1,0,0,C,15-Aug,31-Dec,50,UP,0,
