MAVSTTNCODE,MANSEQNUMB,MAVPLATFORMNUMB,MAVPFVPOSITION,MAVPFHPOSITION,MANLENGTH,MAVPFTYPE,MANCAPACITY,MAVFACILITY,MADMDFYTIME,MAVMDFYBY,MANSTARTBUFFER,MANENDBUFFER,MACSUBURBANFLAG
ALM,1,PF-1,U,M,375,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
ALM,2,PF-2,U,M,350.9,LOW,35,FB,30-Mar,WAT1,3600,3600,N
ALM,3,PF-3,D,M,350.4,LOW,35,FB,30-Mar,WAT1,3600,3600,N
ALM,4,PF-4,U,M,350.4,LOW,35,FB,30-Mar,WAT1,3600,3600,N
ALM,5,PF-5,D,M,350.4,LOW,24,FB,30-Mar,WAT1,3600,3600,N
CHE,1,PF-1,D,M,304,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
CHE,2,PF-2,U,M,304,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
CHE,3,PF-3,D,M,280,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
CHE,4,PF-4,U,M,280,HIGH,24,FB,30-Mar,WAT1,3600,3600,N
CPP,1,PF-1,U,M,0,RAIL,0,,30-Mar,WAT1,3600,3600,N
CPP,3,PF-2,D,M,0,RAIL,0,,30-Mar,WAT1,3600,3600,N
CPP,4,PF-3,U,M,0,RAIL,0,,30-Mar,WAT1,3600,3600,N
DUSI,2,PF-3,D,M,560,LOW,24,"FB,WC",05-Apr,WAT1,3600,3600,N
DUSI,3,PF-2,U,M,570,LOW,35,FB,05-Apr,WAT1,3600,3600,N
DUSI,4,PF-1,D,M,0,RAIL,0,,05-Apr,WAT1,3600,3600,N
GVI,1,PF-1,D,M,338,RAIL,24,"FB,WC",30-Mar,WAT1,3600,3600,N
GVI,2,PF-2,U,M,338,RAIL,35,FB,30-Mar,WAT1,3600,3600,N
GVI,3,PF-3,D,M,351,RAIL,35,FB,30-Mar,WAT1,3600,3600,N
GVI,4,PF-4,U,M,351,RAIL,24,FB,30-Mar,WAT1,3600,3600,N
KBM,1,PF-1,U,M,350,LOW,24,"FB,WC",30-Mar,WAT1,3600,3600,N
KBM,3,PF-2,D,M,325,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
KBM,4,PF-3,U,M,325,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
KPL,1,PF-1,U,M,350,LOW,24,"FB,WC",30-Mar,WAT1,3600,3600,N
KPL,2,PF-2,U,M,353,RAIL,35,FB,30-Mar,WAT1,3600,3600,N
KPL,3,PF-3,D,M,354.2,RAIL,35,FB,30-Mar,WAT1,3600,3600,N
KPL,4,PF-4,U,M,354.2,LOW,24,FB,30-Mar,WAT1,3600,3600,N
KPL,5,PF-5,D,M,353.2,LOW,24,FB,30-Mar,WAT1,3600,3600,N
KTV,1,PF-6,U,M,400,HIGH,35,WC,25-Apr,ECORZN4,3600,3600,N
KTV,5,PF-5,D,M,357,HIGH,35,FB,25-Apr,ECORZN4,3600,3600,N
KTV,6,PF-4,U,M,357,HIGH,35,FB,25-Apr,ECORZN4,3600,3600,N
KTV,7,PF-3,D,M,577,HIGH,24,FB,25-Apr,ECORZN4,3600,3600,N
KTV,8,PF-2,U,M,577,HIGH,24,FB,25-Apr,ECORZN4,3600,3600,N
KTV,9,PF-1,D,M,577,HIGH,24,"FB,WC",25-Apr,ECORZN4,3600,3600,N
KUK,1,PF-5,D,M,332,HIGH,24,FB,30-Mar,WAT1,3600,3600,N
KUK,2,PF-4,U,M,332,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
KUK,3,PF-3,D,M,353,HIGH,24,FB,30-Mar,WAT1,3600,3600,N
KUK,4,PF-2,U,M,353,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
KUK,5,PF-1,D,M,350.3,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
NML,1,PF-1,U,M,244,RAIL,24,"FB,WC",30-Mar,WAT1,3600,3600,N
NML,3,PF-2,D,M,246,RAIL,35,FB,30-Mar,WAT1,3600,3600,N
NWP,1,PF-3,D,M,475,RAIL,24,FB,30-Mar,WAT1,3600,3600,N
NWP,2,PF-2,U,M,450,RAIL,24,FB,30-Mar,WAT1,3600,3600,N
NWP,5,PF-1,D,M,575.5,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
PDU,3,PF-3,D,M,0,RAIL,0,,05-Apr,WAT1,3600,3600,N
PDU,4,PF-2,U,M,0,RAIL,0,,05-Apr,WAT1,3600,3600,N
PDU,5,PF-1,D,M,0,HIGH,0,,05-Apr,WAT1,3600,3600,N
PSA,6,PF-3,D,M,607,HIGH,0,FB,31-Oct,CRIS,120,180,N
PSA,7,PF-2,U,M,614,HIGH,0,FB,31-Oct,CRIS,120,180,N
PSA,8,PF-1,D,M,620,HIGH,0,FB,31-Oct,CRIS,120,180,N
PSA,9,PF-1A,U,M,616,HIGH,0,FB,31-Oct,CRIS,120,180,N
PUN,1,PF-3,U,M,420,HIGH,24,"FB,WC",05-Apr,WAT1,3600,3600,N
PUN,3,PF-2,D,M,400,HIGH,35,FB,05-Apr,WAT1,3600,3600,N
PUN,4,PF-1,U,M,400,HIGH,24,FB,05-Apr,WAT1,3600,3600,N
SGDM,1,PF-1,D,M,532,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
SGDM,2,PF-2,U,M,532,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
SGDM,3,PF-3,D,M,480,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
SGDM,4,PF-4,U,M,480,HIGH,24,FB,30-Mar,WAT1,3600,3600,N
TIU,1,PF-1,U,M,350.5,HIGH,24,"FB,WC",30-Mar,WAT1,3600,3600,N
TIU,2,PF-2,D,M,560.5,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
TIU,3,PF-3,U,M,560.5,HIGH,35,FB,30-Mar,WAT1,3600,3600,N
TIU,4,PF-4,D,M,350.5,HIGH,24,FB,30-Mar,WAT1,3600,3600,N
ULM,1,PF-4,D,M,182,LOW,24,FB,30-Mar,WAT1,3600,3600,N
ULM,2,PF-3,U,M,350,LOW,24,"FB,WC",30-Mar,WAT1,3600,3600,N
ULM,3,PF-2,D,M,182,LOW,35,FB,30-Mar,WAT1,3600,3600,N
ULM,4,PF-4B,D,M,0,RAIL,0,,30-Mar,WAT1,3600,3600,N
VZM,5,PF-5,D,M,612,HIGH,24,"FB,WT,CH",30-Mar,WAT1,3600,3600,N
VZM,6,PF-4,U,M,612,HIGH,24,"FB,WT,CH",30-Mar,WAT1,3600,3600,N
VZM,7,PF-3,D,M,567,HIGH,24,"FB,WT",30-Mar,WAT1,3600,3600,N
VZM,8,PF-2,U,M,567,HIGH,24,"FB,WT",30-Mar,WAT1,3600,3600,N
VZM,9,PF-1,D,M,600,HIGH,24,"FB,WC,WT,CH",30-Mar,WAT1,3600,3600,N
